Name,OnStreetName,AtCrossStreet,Latitude,Longitude
K635SBV-12,I635 S,AT I-70,39.103476,-94.679974
K635SBV-14,I635 S,NORTH OF I-70,39.107984,-94.680834
K635SBV-16,I635 S,SOUTH OF STATE AVE,39.114599,-94.682373
K635SBV-17,I635 S,NORTH OF STATE AVE,39.117873,-94.681704
K635SBV-19,I-635 S After Parallel Pkway,(none),39.1236,-94.6778
K635SBV-20,I635 S,Parallel Pkway,39.1271,-94.6774
K635SBV-21,I635 S,Parallel Pkway,39.1304,-94.677
K635SBV-23,I635 S,Georgia Ave,39.136,-94.6763
K635SBV-25,I635 S,38th Street,39.1403,-94.6746
K635SBV-28,I635 S,Leavenworth Road,39.144,-94.6702
K635SBV-29,I635 S,After K-5,39.1469,-94.6655
K635SBV-30,I635 S,K-5,39.1472,-94.1472
K635SBV-31,I635 S,K-5,39.1481,-94.6565
K635SBVR-01,I635 S,NORTH OF MERRIAM,39.04485,-94.6776
K635SBVR-03,I635 S,SHAWNEE DR,39.055278,-94.679724
K635SBVR-04,I635 S,DOUGLAS AVE,39.065575,-94.67969
K635SBVR-06,I635 S,METROPOLITAN AVE,39.073668,-94.680085
K635SBVR-07,I635 S,SWARTZ RD,39.080298,-94.680773
K670EBVR-11,I670 E,I-70W,39.099388,-94.621758
K670EBVR-13,I670 E,Mill St,39.091778,-94.630272
K670WBVR-11,I670 W,I-70W,39.099941,-94.621666
K670WBVR-13,I670 W,Mill St,39.091904,-94.630249
M029NBVR-01,I29 N,Davidson Road,39.17646,-94.56243
M029NBVR-04,I29 N,North Oak Trafficway,39.1796,-94.5815
M029NBVR-17,I29 N,North of Tiffany Springs Pkwy,39.2802,-94.6743
M029SBVR-01,I29 S,Davidson Road,39.1764,-94.5622
M029SBVR-04,I29 S,North Oak Trafficway,39.1794,-94.5816
M029SBVR-17,I29 S,North of Tiffany Springs Pkwy,39.2801,-94.6744
M035NBRV-07C,I35 N,17TH ST,39.0955,-94.5906
M035NBV-06,I35 N,20TH ST,39.0892,-94.5915
M035NBV-07A,I35 N,17TH ST,39.0943,-94.5908
M035NBV-07B,I35 N,17TH ST,39.0941,-94.5906
M035NBV-31,I35 N,ARMOUR RD / 210 HWY,39.1524,-94.5594
M035NBV-32,I35 N,PARVIN RD,39.1569,-94.5598
M035NBV-33,I35 N,PARVIN RD,39.1647,-94.5595
M035NBVR-01,I35 N,Southwest Blvd,39.075577,-94.600052
M035NBVR-05,I35 N,West Pennway,39.087429,-94.591766
M035NBVR-17,I35 N,Before PASEO BLVD,39.1071,-94.5692
M035NBVR-18,I35 N,AT PASEO BLVD,39.1126,-94.5649
M035NBVR-21,I35 N,Bedford Rd,39.12843,-94.56781
M035NBVR-24,I35 N,16TH STREET,39.1343,-94.5678
M035NBVR-27,I35 N,Armour/210 Hwy,39.1412,-94.5649
M035NBVR-28,I35 N,ARMOUR/210,39.1467,-94.5597
M035SBRV-7B,I35 S,I-670WB TO I-35SB FF,39.0942,-94.5908
M035SBV-06,I35 S,20TH ST,39.0892,-94.5916
M035SBV-07,I35 S,17TH ST,39.0943,-94.5909
M035SBV-31,I35 S,ARMOUR RD / 210 HWY,39.1524,-94.5594
M035SBV-32,I35 S,PARVIN RD,39.1569,-94.5598
M035SBV-33,I35 S,PARVIN RD,39.1647,-94.5595
M035SBVR-01,I35 S,Southwest Blvd,39.075756,-94.600021
M035SBVR-04,I35 S,Southwest Trafficway,39.08091,-94.593719
M035SBVR-05,I35 S,West Pennway,39.08746,-94.592018
M035SBVR-17,I35 S,Before PASEO BLVD,39.1071,-94.5696
M035SBVR-18,I35 S,AT PASEO BLVD,39.1126,-94.5649
M035SBVR-21,I35 S,Bedford Rd,39.12845,-94.56799
M035SBVR-24,I35 S,16TH STREET,39.1343,-94.5678
M035SBVR-27,I35 S,Armour/210 Hwy,39.1412,-94.565
M035SBVR-28,I35 S,ARMOUR/210,39.1467,-94.5597
M049NBRV-03B,I49 N,I470/I435 CD,38.92736,-94.52662
M049NBRV-06,I49 N,US71NB TO I435WB FF,38.93174,-94.52662
M049NBV-04,I49 N,SOUTH OF I-470,38.92945,-94.52742
M049NBV-07,I49 N,I-470,38.933823,-94.5299
